RowID,Molecule Name,SMILES
row0037,HD_MDS_ID_0037,FC(C(C=C1)=CC=C1C2=CC=C(C(CCC3)CC4N3C5CCCCC5)C4=C2)(F)F
row0038,HD_MDS_ID_0038,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(CO)=O)=O
row0039,HD_MDS_ID_0039,C1=CC=C(C=C1)CN=C(N)NC(=O)C2=C(N=C(C(=N2)Cl)N)N
row0040,HD_MDS_ID_0040,CN1[C@@H]2CC[C@H]1CC(OC(C3=CC=CC=C3)C4=CC=CC=C4)C2
row0041,HD_MDS_ID_0041,COC1=C(OC)C2=C[N+]3=C(C4=CC5=C(OCO5)C=C4CC3)C=C2C=C1
row0042,HD_MDS_ID_0042,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(CO)=O)=O
row0043,HD_MDS_ID_0043,CC1=CC(OCC(O)CNCCC2=CC(OC)=C(OC)C=C2)=CC=C1
row0044,HD_MDS_ID_0044,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O
row0045,HD_MDS_ID_0045,CC(C(O)=O)(OC1=CC=C(CCNC(C2=CC=C(Cl)C=C2)=O)C=C1)C
row0046,HD_MDS_ID_0046,O=C(O)CCCC[C@H]1[C@@H](NC(N2)=O)[C@@H]2CS1
row0047,HD_MDS_ID_0047,O=C(C1CCNCC1)N2C3CC(CC2)C4=CC=C(C5=CC(OC(F)(F)F)=CC=C5)C=C43
row0048,HD_MDS_ID_0048,CC(C1=CC(C2=CSC(CN)=N2)=CC(C(C)(C)C)=C1O)(C)C
row0049,HD_MDS_ID_0049,CC1(C)CC(OC2=NN=C(C3=C(O)C=C(C4=CNN=C4)C=C3)C=C2)CC(C)(C)N1
row0050,HD_MDS_ID_0050,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(CO)=O)O1)=O
row0051,HD_MDS_ID_0051,CC(NC(C)(C)C)C(C1=CC(Cl)=CC=C1)=O
row0052,HD_MDS_ID_0052,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
row0053,HD_MDS_ID_0053,CCCCCC1=CC(O)=C([C@@H]2C=C(C)CC[C@H]2C(C)=C)C(O)=C1
row0054,HD_MDS_ID_0054,O=C(N)N1C2=CC=CC=C2C=CC3=CC=CC=C31
row0055,HD_MDS_ID_0055,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)OC(=O)CCC(=O)O)C)(C)C(=O)O
row0056,HD_MDS_ID_0056,O=C(CC(C)C1)C2=C1NC=C(C(OCC)=O)C2C3=C(Cl)C=C(C)C=C3
row0057,HD_MDS_ID_0057,CC1=C(O)C(C=C2C1=CC=C3[C@@]2(C)CC[C@]4(C)[C@]3(C)CC[C@]5(C)[C@H]4C[C@](C)(C(O)=O)CC5)=O
row0058,HD_MDS_ID_0058,COC1=CC=C(COC2=CC(N=C(C3=NN(C)C(C=C3)=O)O4)=C4C=C2)N=C1
row0059,HD_MDS_ID_0059,O=C(NC1=CN=C(OC)C=C1)C2=NC3=NC4=CC=CC=C4N3C=C2
row0060,HD_MDS_ID_0060,ClC1=CC(Cl)=C(C2=NC(NCCNC3=NC(N)=C([N+]([O-])=O)C=C3)=NC=C2N4C=CN=C4)C=C1
row0061,HD_MDS_ID_0061,CC1=CN=C(C2=CN=C(NCCNC3=NC=C(C#N)C=C3)N=C2C4=C(Cl)C=C(Cl)C=C4)N1
row0062,HD_MDS_ID_0062,CN(CCCN1C2=CC=CC=C2SC3=C1C=C(Cl)C=C3)C
row0063,HD_MDS_ID_0063,C1=CC2=C(C=C1Cl)NC(=O)O2
row0064,HD_MDS_ID_0064,C1=CC(=CC=C1C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O)N=NC4=CC(=C(C=C4)O)C(=O)O
row0065,HD_MDS_ID_0065,O=C(C1=C(O)C=C(O)C=C1O2)C=C2C3=CC=CC=C3
row0066,HD_MDS_ID_0066,CN(CCCC1(C2=CC=C(F)C=C2)C3=C(C=C(C#N)C=C3)CO1)C
row0067,HD_MDS_ID_0067,O=C1CN=C(C2=CC=CC=C2Cl)C(C=C([N+]([O-])=O)C=C3)=C3N1
row0068,HD_MDS_ID_0068,CN1CCN(C2=NC3=C(NC4=CC=CC=C42)C=CC(Cl)=C3)CC1
row0069,HD_MDS_ID_0069,O=C(C1=CC=NC=C1)N2N=C3CCCCC3C2(C(F)(F)F)O
row0070,HD_MDS_ID_0070,CC1=CC=C(N=C(C2=CC=C(NCCOCCOCCNC([C@H](CC(C)C)NC([C@@H](O)[C@H](N)CC3=CC=CC=C3)=O)=O)C=C2)S4)C4=C1
row0071,HD_MDS_ID_0071,OCC1=CC=C(B(OC(C(N)CS)=O)C2=CC=C(OC3=CC=C(B(OC(C(N)CS)=O)C4=CC=CC=C4)C=C3)C=C2)C=C1
row0072,HD_MDS_ID_0072,OCC1=CC=C(B(OC(C(N)CCC(N)=O)=O)C2=CC=C(OC3=CC=C(B(OC(C(N)CCC(N)=O)=O)C4=CC=CC=C4)C=C3)C=C2)C=C1
row0073,HD_MDS_ID_0073,NCCNCCOB(C1=CC=C(OC2=CC=C(B(OCCNCCN)C3=CC=CC=C3)C=C2)C=C1)C4=CC=CC=C4
row0074,HD_MDS_ID_0074,CB(SCCN)C(C=C1)=CC=C1OC(C=C2)=CC=C2B(SCCN)C3=CC=CC(C)=C3
row0075,HD_MDS_ID_0075,O=C1OC2=CC=C(Br)C=C2C3=C1C(C4=CC=CC=C4)=C(N)C(C(C5=CC=C(OC)C=C5)=O)=N3
row0076,HD_MDS_ID_0076,CN(C)C1=CC=C(NC2=NC(C3=C(C)N=C4N3C=CC(C)=C4)=CS2)C=C1
row0077,HD_MDS_ID_0077,CN(C)C1=CC=C(NC2=NC(C3=C(C)N=C4N3C=CC=N4)=CS2)C=C1
row0078,HD_MDS_ID_0078,O=C1N(C2=CC=C(OC)C(OC)=C2OC)C(C3=CC(Cl)=C(Cl)C=C3)N4C1CCC4
row0079,HD_MDS_ID_0079,O=C1N(C2=CC=CC3=C2OCO3)C(C4=CC(Cl)=C(Cl)C=C4)N5C1CCC5
row0080,HD_MDS_ID_0080,O=C1N(C2=CC=C(OCO3)C3=C2)C(C4=CC(Cl)=C(Cl)C=C4)N5C1CCC5
row0081,HD_MDS_ID_0081,O=C([C@H](CC(C)C)NC([C@@H](O)[C@H](N)CC1=CC=CC=C1)=O)NCCOCCOCCOC2=CC(SC(/N=N/C3=CC=C(N(C)C)C=C3)=N4)=C4C=C2
row0082,HD_MDS_ID_0082,C=C(CCN1[C@H](CC(C)C)C(NCC2=CC(Cl)=C(Cl)C=C2)=O)C3=CC=CC=C3S1(=O)=O
row0083,HD_MDS_ID_0083,COC(C=C1)=CC=C1S(NC2=CC=C(N(S(C3=CC=C(OC)C=C3)(=O)=O)CC(O)=O)C4=C2C=CC=C4)(=O)=O
row0084,HD_MDS_ID_0084,COC1=CC=C(NC2=NC(C3=C(C)N=C4N3C=CC(C)=C4)=CS2)C=C1
row0085,HD_MDS_ID_0085,C1(B(OCC2CCCN2)C3=CC=C(OC4=CC=C(B(OCC5CCCN5)C6=CC=CC=C6)C=C4)C=C3)=CC=CC=C1
row0086,HD_MDS_ID_0086,NCCOB(C1=CC=C(OC2=CC=C(B(OCCN)C3=C(C=CC=C4)C4=CC=C3)C=C2)C=C1)C5=C6C(C=CC=C6)=CC=C5
row0087,HD_MDS_ID_0087,CN(C)CCOB(C1=CC=C(OC2=CC=C(B(OCCN(C)C)C3=C(C=CC=C4)C4=CC=C3)C=C2)C=C1)C5=C6C(C=CC=C6)=CC=C5
row0088,HD_MDS_ID_0088,CC1=CC=C(B(OCCN)C2=CC=C(OC3=CC=C(B(OCCN)C4=CC=C(C)C=C4)C=C3)C=C2)C=C1
row0089,HD_MDS_ID_0089,CC1=CC=C(B(OC(C(CCCCN)N)=O)C2=CC=C(OC3=CC=C(B(OC(C(CCCCN)N)=O)C4=CC=C(C)C=C4)C=C3)C=C2)C=C1
row0090,HD_MDS_ID_0090,O=S(C1=CC=CC(C(NC2=CC=CC=C2)=O)=C1)(NC3=CC=C(Br)C=C3)=O
row0091,HD_MDS_ID_0091,O=C1OC2=CC=CC=C2C3=C1C(C4=CC=CC=C4)=C(N)C(C(C5=CC=C(OC)C=C5)=O)=N3
row0092,HD_MDS_ID_0092,CC1(C)CC(C2=C(N(C3=CC(CCNC4=O)=C4C(C5CCCC5)=C3)C=C2C)C1)=O
row0093,HD_MDS_ID_0093,FC1=C(F)C=C(F)C(F)=C1OCC(C(CC(O)=O)N2N=NC([C@](C)(C3CCCCC3)NS(CC4=CC=CC=C4)(=O)=O)=C2)=O
row0094,HD_MDS_ID_0094,C1(C(SC(C2=CC=CC=C2)=N3)=C3C=N4)=C4C=CC=C1
row0095,HD_MDS_ID_0095,FC1=C(F)C=C(F)C(F)=C1OCC(C(CC(O)=O)N2N=NC([C@](C)(C3CCCCC3)NC(CCCC(O)=O)=O)=C2)=O
row0096,HD_MDS_ID_0096,FC1=C(F)C=C(F)C(F)=C1OCC(C(CC(O)=O)N2N=NC([C@](C)(C3CCCCC3)NC(CC4=CC=CC=C4)=O)=C2)=O
row0097,HD_MDS_ID_0097,CC1=CC=C(B(OC2=CC=CC=C2N)C3=CC=C(C)C(Cl)=C3)C=C1Cl
row0098,HD_MDS_ID_0098,O=C(C1=CC=CS1)/C=C/CCC2=CC=CC=C2
row0099,HD_MDS_ID_0099,OB(C1=CC=C(OC2=CC=C(B(O)C3=CC=C(C)C(Cl)=C3)C=C2)C=C1)C4=CC=C(C)C(Cl)=C4
row0100,HD_MDS_ID_0100,CC1=CC=C(B(OCCN)C2=CC=C(OC3=CC=C(B(OCCN)C4=CC=C(C)C(Cl)=C4)C=C3)C=C2)C=C1Cl
