SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NC1C(O)CN(c2ncnc3c2[nH]c(C)c3)CC1)C1C(C)(C)CO1;m_274310____14113432____15939578____15869892;7
O=C(COC)N1C(C2N(c3ncnc4c3[nH]c(C)c4)CCC2)CCCC1;m_274310____14112720____12170228____15869892;7
O=C(NCCC(Nc1ncnc2c1[nH]c(C)c2)C)C1OC2(CC1)CCC2;m_274310____14112744____15944176____15869892;7
O=C(N[C@@H]1CN(c2ncnc3c2[nH]c(C)c3)CC1)CC1C2OC(C1)CC2;m_274310____14112796____14121138____15869892;7
O=C(NC1CC(CNc2ncnc3c2[nH]c(C)c3)C1)C1OC(CC)CC1;m_274310____14113150____14121038____15869892;7
O=C(NC(C)C1(O)CN(c2ncnc3c2[nH]c(C)c3)CC1)c1ncoc1;m_274310____15938308____12658046____15869892;7
O=C(NCC12N(c3ncnc4c3[nH]c(C)c4)C(CC1)CC2)C1(C)COC1;m_274310____15937394____15942102____15869892;7
O=C(NCCC1(O)CN(c2ncnc3c2[nH]c(C)c3)C1)C1ON=C(C)C1;m_274310____15937540____15942440____15869892;8
FC1(C(=O)NCC(O)CNc2ncnc3c2[nH]c(C)c3)CCOCC1;m_274310____14112866____14119452____15869892;8
Brc1[nH]c2c(N3C[C@H](O)C[C@@H](C(=O)OC)C3)nc(Cl)nc2c1;Z4026446329;8
O=C(NC1C2(Nc3ncnc4c3[nH]c(C)c4)CC(C1)CC2)[C@H]1OCCC1;m_274310____15938252____12658218____15869892;8
O=C(CC(O)CC)N1CC(C)(C)CC(Nc2ncnc3c2[nH]c(C)c3)C1;m_274310____15937732____15941200____15869892;8
O=C(N1C(CCNc2ncnc3c2[nH]c(C)c3)CCCC1)C1CC(O)C1;m_274310____14112848____15943652____15869892;8
O=C(CC(OC)C)N1C(C(Nc2ncnc3c2[nH]c(C)c3)C)CCCC1;m_274310____14112670____12658018____15869892;8
O=C(NCC(Nc1ncnc2c1[nH]c(C)c2)C)CC1C(C)(C)C(O)C1;m_274310____14112730____15941762____15869892;8
S(CC(=O)NCC1C2N(c3ncnc4c3[nH]c(C)c4)CC1CCC2)C;m_274310____15938040____12657824____15869892;8
O=C(N1CC(O)(CNc2ncnc3c2[nH]c(C)c3)C1)C1OC(C)(C)CC1;m_274310____15938070____15941912____15869892;9
O=C(N[C@@H](C)C1CCN(c2ncnc3c2[nH]c(C)c3)CC1)C1(O)COC1;m_274310____14113208____15939740____15869892;9
O=C(N1CC(N(C)c2ncnc3c2[nH]c(C)c3)CC1)C1C2(C1)CC(O)C2;m_274310____14112648____15944802____15869892;9
O=C(NC12CC3(Nc4ncnc5c4[nH]c(C)c5)CC(C1)CC(C2)C3)CO;m_274310____15938312____15943396____15869892;9
O=C(NC1CC(CCNc2ncnc3c2[nH]c(C)c3)CC1)[C@H]1COCC1;m_274310____15938106____14118150____15869892;9
O=C(C(CO)C)N1C(CCNc2ncnc3c2[nH]c(C)c3)C(C)CCC1;m_274310____14113366____15943438____15869892;9
O=C(N[C@H]1[C@@H](Nc2ncnc3c2[nH]c(C)c3)CCCC1)C1OCCOC1;m_274310____15938230____12657916____15869892;9
O=C(NC12C(N(c3ncnc4c3[nH]c(C)c4)CC1)CCCCC2)COC;m_274310____15937834____12170228____15869892;10
O=C(NC1CC(Nc2ncnc3c2[nH]c(C)c3)C1)C12OCC(C1)CCC2;m_274310____14112710____15945282____15869892;10
O=C(NCC1(Nc2ncnc3c2[nH]c(C)c3)CCCC1)C1CC(C)OC1;m_274310____14112836____14121252____15869892;10
O=C(NCC1(Nc2ncnc3c2[nH]c(C)c3)CC1)c1cc(OC)ccc1;m_274310____14112892____14115580____15869892;10
O=C(CC1(C)OCCC1)N1C[C@H]2C(Nc3ncnc4c3[nH]c(C)c4)[C@H]2C1;m_274310____15937538____15943768____15869892;10
Brc1[nH]c2c(N3C[C@]4(O)[C@@H](C4)CC3)nc(Cl)nc2c1;Z4026364458;10
O=C(NC1C2N(c3ncnc4c3[nH]c(C)c4)CCC(C2)CC1)C(C)(C)C;m_274310____15937982____14115518____15869892;10
O=C(NCC(O)CNc1ncnc2c1[nH]c(C)c2)C1C(C)CC(=O)N1;m_274310____14112866____15942600____15869892;11
O=C(NCC(Nc1ncnc2c1[nH]c(C)c2)C(C)C)C(O)COC;m_274310____14112856____15940890____15869892;11
O=C(NC1(CO)CN(c2ncnc3c2[nH]c(C)c3)C1)C(C)C1OCCC1;m_274310____15937896____14119122____15869892;11
O=C(CC(O)C(C)C)N1C(C)CC(CNc2ncnc3c2[nH]c(C)c3)C1;m_274310____14113140____15941896____15869892;11
O=C(C(OC)(C)C)N1CC2N(c3ncnc4c3[nH]c(C)c4)C(C1)CCC2;m_274310____14112912____15940296____15869892;11
O=C(NCC(Nc1ncnc2c1[nH]c(C)c2)C(C)C)CC1C(C)CCO1;m_274310____14112856____15945318____15869892;11
O=C(NC1(C2CN(c3ncnc4c3[nH]c(C)c4)CCC2)CC1)C(CO)C;m_274310____15937990____15943438____15869892;11
Brc1c2nc(Cl)nc(N3C4C(OC)C5CC4C(C3)C5)c2[nH]c1;Z2613155266;11
O=C(N1C[C@H](Nc2ncnc3c2[nH]c(C)c3)CC1)C1(C2OCCC2)CC1;m_274310____14112646____15940738____15869892;11
O=C(CCC(C)C)N1CC2N(c3ncnc4c3[nH]c(C)c4)C(CC1)CC2;m_274310____14112938____12657830____15869892;11
